iter	MultiClass
0	1.018276801
1	0.9475805832
2	0.8903118921
3	0.8405335116
4	0.7954143852
5	0.757796907
6	0.7280911342
7	0.6968755418
8	0.6708119184
9	0.6478098379
10	0.6245735112
11	0.6049411939
12	0.5870127642
13	0.5696733493
14	0.5544687848
15	0.5389512522
16	0.5263845728
17	0.5151732232
18	0.5041961679
19	0.4955188921
20	0.4858715379
21	0.4774172798
22	0.4692465406
23	0.4613740685
24	0.4549403867
25	0.448398921
26	0.4424736517
27	0.4368852105
28	0.4301389353
29	0.4245304718
30	0.420038137
31	0.4152277904
32	0.4119736482
33	0.4071466649
34	0.4036834941
35	0.4009040476
36	0.3967050255
37	0.3938320261
38	0.3894196775
39	0.3861775669
40	0.3834338607
41	0.3812968536
42	0.3790547412
43	0.3755373545
44	0.37269077
45	0.3699501566
46	0.3675841557
47	0.3647925756
48	0.3621557225
49	0.3599925919
50	0.358303774
51	0.3561559798
52	0.3539937682
53	0.3518860426
54	0.3499854462
55	0.3481204734
56	0.3464302799
57	0.3448028264
58	0.3430437594
59	0.3410773088
60	0.3398017163
61	0.3386980247
62	0.3373435038
63	0.3356164784
64	0.3344132273
65	0.332921751
66	0.3318666161
67	0.3301068033
68	0.3284524408
69	0.3266631958
70	0.325104665
71	0.3237036782
72	0.3226098307
73	0.3219071765
74	0.3205888275
75	0.3190445664
76	0.3180074865
77	0.3167556862
78	0.3156768558
79	0.3148695722
80	0.3134602223
81	0.3123633386
82	0.3112278683
83	0.3096568965
84	0.3087657959
85	0.3082524459
86	0.3070228124
87	0.3061318772
88	0.304365792
89	0.3039286686
90	0.302866579
91	0.3009944334
92	0.3005509896
93	0.2991576249
94	0.2977192313
95	0.2964439083
96	0.2952212549
97	0.2941181181
98	0.2928233138
99	0.2913110691
100	0.290245922
101	0.2897504323
102	0.2884496968
103	0.2875727569
104	0.2869495508
105	0.285869272
106	0.2850735368
107	0.2840671588
108	0.2834240581
109	0.2827545545
110	0.2814973165
111	0.2806772332
112	0.2794919862
113	0.2782241782
114	0.2774721829
115	0.2766176619
116	0.275898103
117	0.2753066965
118	0.2742469069
119	0.2735821981
120	0.2729626232
121	0.271898334
122	0.2709432591
123	0.2703182044
124	0.269530899
125	0.268853125
126	0.2682016012
127	0.2675328494
128	0.2669689818
129	0.2659208715
130	0.2654225278
131	0.264613427
132	0.2636634478
133	0.2632055303
134	0.2626324656
135	0.2622155237
136	0.2614270773
137	0.2606160071
138	0.2597430182
139	0.2588365385
140	0.2572377209
141	0.2566459595
142	0.255980534
143	0.2556200263
144	0.2551200058
145	0.2543341652
146	0.2536551749
147	0.2529885748
148	0.2520476302
149	0.2508625386
150	0.2498790258
151	0.2489723496
152	0.2486765824
153	0.2482755413
154	0.2475909643
155	0.2468733284
156	0.2461534917
157	0.2456468419
158	0.2454227035
159	0.244605917
160	0.2440361445
161	0.2437005413
162	0.2431005715
163	0.2425196072
164	0.2419228275
165	0.2411712459
166	0.2406647488
167	0.2400026981
168	0.2396210665
169	0.2391383877
170	0.2383872597
171	0.2377616532
172	0.2373031337
173	0.2366779236
174	0.2364660164
175	0.2359137484
176	0.2349174631
177	0.2345080529
178	0.2339854058
179	0.2337257462
180	0.2333210096
181	0.2329634828
182	0.2322901083
183	0.2313008611
184	0.2308046316
185	0.2303319893
186	0.229822942
187	0.2290268568
188	0.2285597256
189	0.2280255946
190	0.2278035358
191	0.2272678522
192	0.2269967838
193	0.2267719274
194	0.2260954233
195	0.2251977885
196	0.2250452832
197	0.2245370995
198	0.2240871914
199	0.2237383356
200	0.2230627984
201	0.2227791244
202	0.2223691091
203	0.2219283291
204	0.2217165778
205	0.2210324841
206	0.220631794
207	0.2204432905
208	0.2196989042
209	0.2190173671
210	0.2185550307
211	0.2182729207
212	0.2180240845
213	0.2175093523
214	0.2168504969
215	0.2164503877
216	0.2162882239
217	0.215804789
218	0.2153128256
219	0.214848305
220	0.2145785093
221	0.2141430055
222	0.2137559208
223	0.2134056368
224	0.2128852609
225	0.2124664642
226	0.2121317921
227	0.2117925166
228	0.2113396445
229	0.2107373914
230	0.2104760986
231	0.2103328452
232	0.2100582219
233	0.2095998003
234	0.2091876075
235	0.2088200861
236	0.2086736584
237	0.208179625
238	0.2076772508
239	0.2071596009
240	0.2069447219
241	0.2066380075
242	0.2063083282
243	0.2060917612
244	0.2059402281
245	0.2056618254
246	0.205064983
247	0.2047823291
248	0.2044753934
249	0.2040940397
250	0.2039778162
251	0.2033972869
252	0.2029111862
253	0.2026605106
254	0.2020118683
255	0.2017677107
256	0.2015302333
257	0.2014247318
258	0.2011283362
259	0.2008659589
260	0.2005731952
261	0.2000681388
262	0.199515072
263	0.1991736779
264	0.1987647272
265	0.1983560151
266	0.1977661703
267	0.1975589308
268	0.1970739847
269	0.1965390757
270	0.19649508
271	0.1962254163
272	0.1958272726
273	0.1956617474
274	0.1953312228
275	0.1951880894
276	0.1949031938
277	0.1944978357
278	0.1938863766
279	0.1937197105
280	0.1934061818
281	0.1931597544
282	0.1928564956
283	0.1924818377
284	0.1922625097
285	0.1918926926
286	0.1916080922
287	0.1912025269
288	0.190898636
289	0.1907823821
290	0.1904669561
291	0.1902534404
292	0.1900205349
293	0.1896523969
294	0.1894237389
295	0.1893224722
296	0.1889308578
297	0.1888224247
298	0.1885091636
299	0.1882583647
300	0.1880583308
301	0.1876096762
302	0.1873256664
303	0.1869630634
304	0.1865236646
305	0.1863914158
306	0.1860718411
307	0.1856112869
308	0.1855544352
309	0.1852952023
310	0.1849990341
311	0.1846599813
312	0.1843450767
313	0.1840460648
314	0.1837280526
315	0.1832837137
316	0.1828172112
317	0.1825688847
318	0.1824370547
319	0.1819732682
320	0.1816758028
321	0.181407003
322	0.1812549537
323	0.1807162234
324	0.1805658731
325	0.1803083675
326	0.1800322916
327	0.1796432996
328	0.1793919726
329	0.1791044475
330	0.178678501
331	0.1786049829
332	0.1783718751
333	0.1782038932
334	0.1778761524
335	0.1777207529
336	0.1773141126
337	0.1769341332
338	0.1768452866
339	0.1764415043
340	0.1762658991
341	0.1759812391
342	0.1756385478
343	0.1753601465
344	0.1752483749
345	0.175101699
346	0.1749440216
347	0.1747683626
348	0.1747343682
349	0.1745551843
350	0.1741941024
351	0.1739266099
352	0.1737666009
353	0.1733337885
354	0.1731653433
355	0.1728258527
356	0.1723595269
357	0.1720961688
358	0.1717185534
359	0.1716152611
360	0.1711598377
361	0.1709503012
362	0.1706026956
363	0.170408428
364	0.170152715
365	0.1698879235
366	0.169625766
367	0.1694173967
368	0.1691404516
369	0.1686885373
370	0.1685556098
371	0.168285635
372	0.1679134574
373	0.1676579535
374	0.1674488431
375	0.1673093714
376	0.1671172494
377	0.1669089658
378	0.1667379429
379	0.1664713225
380	0.1661356023
381	0.165833622
382	0.1655121936
383	0.1652129834
384	0.1647918488
385	0.1644986542
386	0.1643737213
387	0.1642060706
388	0.1640591421
389	0.1637811439
