iter	Passed	Remaining
0	3	3566
1	6	3392
2	10	3330
3	13	3269
4	16	3315
5	20	3366
6	24	3434
7	27	3406
8	30	3367
9	34	3367
10	37	3350
11	40	3363
12	44	3344
13	47	3339
14	50	3348
15	54	3349
16	58	3364
17	61	3362
18	64	3354
19	68	3337
20	70	3308
21	73	3282
22	76	3252
23	79	3249
24	82	3234
25	85	3217
26	88	3205
27	92	3197
28	95	3182
29	98	3174
30	100	3143
31	103	3120
32	105	3099
33	108	3084
34	111	3077
35	114	3066
36	117	3046
37	119	3026
38	122	3023
39	125	3015
40	128	3016
41	132	3012
42	135	3008
43	138	3004
44	141	2992
45	144	2988
46	147	2991
47	150	2994
48	156	3039
49	160	3042
50	164	3057
51	167	3046
52	170	3042
53	173	3032
54	175	3018
55	178	3014
56	181	3003
57	184	2989
58	187	2989
59	190	2978
60	192	2969
61	195	2964
62	198	2956
63	201	2954
64	205	2951
65	208	2957
66	212	2953
67	215	2950
68	218	2945
69	221	2941
70	224	2931
71	227	2925
72	229	2917
73	232	2908
74	235	2905
75	238	2899
76	241	2893
77	244	2890
78	247	2881
79	250	2876
80	253	2871
81	255	2864
82	258	2859
83	261	2852
84	264	2845
85	267	2839
86	269	2832
87	272	2826
88	275	2821
89	278	2812
90	280	2806
91	283	2802
92	286	2796
93	289	2791
94	292	2790
95	295	2787
96	299	2784
97	302	2781
98	305	2776
99	308	2777
100	311	2771
101	314	2765
102	317	2764
103	320	2761
104	323	2758
105	327	2758
106	330	2755
107	333	2753
108	336	2749
109	339	2746
110	342	2745
111	345	2740
112	348	2735
113	351	2732
114	354	2730
115	358	2729
116	361	2726
117	364	2722
118	367	2720
119	370	2718
120	374	2721
121	377	2720
122	382	2723
123	385	2723
124	388	2721
125	391	2718
126	394	2714
127	399	2721
128	402	2720
129	406	2719
130	409	2717
131	412	2713
132	415	2710
133	418	2704
134	421	2701
135	424	2694
136	427	2691
137	430	2688
138	433	2684
139	436	2682
140	440	2683
141	443	2680
142	447	2680
143	450	2677
144	453	2674
145	456	2670
146	459	2667
147	462	2664
148	465	2660
149	468	2657
150	472	2653
151	474	2649
152	477	2644
153	480	2640
154	483	2636
155	486	2631
156	489	2625
157	492	2623
158	496	2627
159	500	2627
160	504	2626
161	506	2622
162	510	2623
163	514	2620
164	517	2617
165	519	2612
166	522	2606
167	525	2603
168	528	2599
169	531	2597
170	535	2595
171	538	2590
172	540	2584
173	543	2581
174	546	2577
175	549	2573
176	552	2569
177	555	2564
178	558	2560
179	561	2556
180	563	2550
181	566	2546
182	569	2541
183	572	2538
184	575	2536
185	578	2532
186	582	2530
187	584	2525
188	587	2522
189	590	2517
190	593	2512
191	597	2512
192	600	2510
193	603	2508
194	608	2513
195	612	2511
196	615	2508
197	618	2506
198	621	2503
199	624	2499
200	627	2495
201	630	2490
202	633	2486
203	636	2483
204	639	2479
205	642	2475
206	645	2471
207	647	2467
208	650	2462
209	653	2459
210	656	2456
211	659	2451
212	662	2448
213	665	2443
214	668	2439
215	670	2435
216	673	2431
217	676	2426
218	679	2423
219	682	2419
220	685	2416
221	688	2412
222	691	2408
223	694	2405
224	697	2401
225	699	2396
226	702	2393
227	705	2390
228	710	2391
229	714	2390
230	717	2389
231	721	2386
232	723	2382
233	726	2379
234	730	2376
235	733	2373
236	736	2369
237	738	2365
238	741	2361
239	745	2359
240	748	2355
241	751	2352
242	754	2349
243	756	2344
244	759	2340
245	762	2336
246	765	2333
247	769	2332
248	772	2328
249	775	2325
